Type of article,Article Title,DOI ,Author,Year,Animal,Animal type,Farming country,Mineral premix included? (Y/N),Type of premix (trace element or not),Proxy? (Y/N),Proxy name,Details,Likelihood of premix dependence,
Accepted,"Life Cycle Assessment of fish fed with insect meal: Case study of mealworm inclusion in trout feed, in France",https://doi.org/10.1016/j.aquaculture.2018.06.051,Le Feon et al,2019,Trout,Fish/Crustaceans,France,N,,,,Included in feed description but omitted from inventory,,
Accepted,"Environmental impact assessment of chicken meat production via an integrated methodology based on LCA, simulation and genetic algorithms",https://doi.org/10.1016/j.jclepro.2017.10.307,Lopez-Andres et al,2018,Chicken,Chicken,Mexico,N,,,,"Verbatim from paper - ""The chickens’ diet consists of water and protein.""",,
Accepted,From feed to fork – Life Cycle Assessment on an Italian rainbow trout (Oncorhynchus mykiss) supply chain,https://doi.org/10.1016/j.jclepro.2020.125155,Maiolo et al,2021,Trout,Fish/Crustaceans,Italy,N,,,,"Only fish, other animal, and plant ingredients considered",,
Accepted,Life-cycle assessment of greenhouse gas emissions from dairy production in Eastern Canada: A case study,https://doi.org/10.3168/jds.2011-5229,Mc Geough et al,2012,Dairy Cattle,Cattle,Canada,N,,,,Assumed all ingredients were produced on farm - mineral supplement listed in ingredients but not included in emissions source,,
Accepted,Method for calculating carbon footprint of cattle feeds - including contribution from soil carbon changes and use of cattle manure,https://doi.org/10.1016/j.jclepro.2014.02.023,Mogensen et al,2014,Cattle,Cattle,Denmark,N,,,,Focuses on fodder crops only,,
Accepted,Life Cycle Assessment for environmentally sustainable aquaculture management: a case study of combined aquaculture systems for carp and tilapia,https://doi.org/10.1016/j.jclepro.2013.05.029,Mungkung et al ,2013,Carp/tilapia,Fish/Crustaceans,Indonesia,N,,,,"Despite ""additives"" noted in diet only plant-based and fish-based ingredients were considered",,
Accepted,Environmental and water sustainability of milk production in Northeast Spain,https://doi.org/10.1016/j.scitotenv.2017.10.186,Noya et al,2018,Dairy Cattle,Cattle,Spain,N,,,,Not all ingredient were listed for the diets (did not add to 100%) but the inventory only mentions the main crops and fodder (which was also crop-based).,,
Accepted,A life cycle assessment of seasonal grass-based and confinement dairy farms,https://doi.org/10.1016/j.agsy.2011.11.004,O'Brien et al,2012,Dairy Cattle,Cattle,Ireland,N,,,,Is mineral premix expected in dairy cattle? Need to discuss this for many papers,,Emailed Teagasc to clarify 14-05-24
Accepted,Evaluating environmental impacts of the Japanese beef cow–calf system by the life cycle assessment method, https://doi.org/10.1111/j.1740-0929.2007.00457.x,Ogino et al ,2007,Cattle,Cattle,Japan,N,,,,Not listed in diet at all,,
Accepted,Economic and environmental impacts of changes in culling parity of cows and diet composition in Japanese beef cow-calf production systems,10.1016/j.agsy.2012.09.007,Oishi et al,2013,Cattle,Cattle,Japan,N,,,,"Did the LCA for enviromental impacts (global warming, acidification, and eutrophication), then calculated to an overall enbiromnetal index to evaluate the balance between the environmental output and the economic output. LCA used the model from Ogino et al. (2007): 10.1111/j.1740-0929.2007.00457.x. Premix was not mentioned.",,
Accepted,"Environmental performance in the US broiler poultry sector: Life cycle energy use and greenhouse gas, ozone depleting, acidifying and eutrophying emissions",10.1016/j.agsy.2008.03.007,Pelletier,2008,Chicken,Chicken,United States,N,,,,"Salt (is it premix)? <-BETH: No, not really :)",,
